ragil\sprint,first,second,third,fourth,fifth,sixth,seventh,eighth,ninth,tenth,fastest,race name
ragil,Charles Leclerc,Carlos Sainz,Lewis Hamilton,George Russell,Kevin Magnussen,Valtteri Bottas,Esteban Ocon,Yuki Tsunoda,Fernando Alonso,Guanyu Zhou,Charles Leclerc,Bahrain
ragil,Max Verstappen,Charles Leclerc,Carlos Sainz,Sergio Perez,George Russell,Esteban Ocon,Lando Norris,Pierre Gasly,Kevin Magnussen,Lewis Hamilton,Charles Leclerc,Saudi Arabia
ragil,Charles Leclerc,Sergio Perez,George Russell,Lewis Hamilton,Lando Norris,Daniel Ricciardo,Esteban Ocon,Valtteri Bottas,Pierre Gasly,Alexander Albon,Charles Leclerc,Australia
sprint,Max Verstappen,Charles Leclerc,Sergio Perez,Carlos Sainz,Lando Norris,Daniel Ricciardo,Valtteri Bottas,Kevin Magnussen,,,,Emilia Romagna
ragil,Max Verstappen,Sergio Perez,Lando Norris,George Russell,Valtteri Bottas,Charles Leclerc,Yuki Tsunoda,Sebastian Vettel,Kevin Magnussen,Lance Stroll,Max Verstappen,Emilia Romagna
ragil,Max Verstappen,Charles Leclerc,Carlos Sainz,Sergio Perez,George Russell,Lewis Hamilton,Valtteri Bottas,Esteban Ocon,Alexander Albon,Lance Stroll,Max Verstappen,Miami
ragil,Max Verstappen,Sergio Perez,George Russell,Carlos Sainz,Lewis Hamilton,Valtteri Bottas,Esteban Ocon,Lando Norris,Fernando Alonso,Yuki Tsunoda,Sergio Perez,Spain
ragil,Sergio Perez,Carlos Sainz,Max Verstappen,Charles Leclerc,George Russell,Lando Norris,Fernando Alonso,Lewis Hamilton,Valtteri Bottas,Sebastian Vettel,Lando Norris,Monaco
ragil,Max Verstappen,Sergio Perez,George Russell,Lewis Hamilton,Pierre Gasly,Sebastian Vettel,Fernando Alonso,Daniel Ricciardo,Lando Norris,Esteban Ocon,Sergio Perez,Azerbaijan
ragil,Max Verstappen,Carlos Sainz,Lewis Hamilton,George Russell,Charles Leclerc,Esteban Ocon,Valtteri Bottas,Guanyu Zhou,Fernando Alonso,Lance Stroll,Carlos Sainz,Canada
ragil,Carlos Sainz,Sergio Perez,Lewis Hamilton,Charles Leclerc,Fernando Alonso,Lando Norris,Max Verstappen,Mick Schumacher,Sebastian Vettel,Kevin Magnussen,Lewis Hamilton,Great Britain
sprint,Max Verstappen,Charles Leclerc,Carlos Sainz,George Russell,Sergio Perez,Esteban Ocon,Kevin Magnussen,Lewis Hamilton,,,,Austria
ragil,Charles Leclerc,Max Verstappen,Lewis Hamilton,George Russell,Esteban Ocon,Mick Schumacher,Lando Norris,Kevin Magnussen,Daniel Ricciardo,Fernando Alonso,Max Verstappen,Austria
ragil,Max Verstappen,Lewis Hamilton,George Russell,Sergio Perez,Carlos Sainz,Fernando Alonso,Lando Norris,Esteban Ocon,Daniel Ricciardo,Lance Stroll,Carlos Sainz,France
ragil,Max Verstappen,Lewis Hamilton,George Russell,Carlos Sainz,Sergio Perez,Charles Leclerc,Lando Norris,Fernando Alonso,Esteban Ocon,Sebastian Vettel,Lewis Hamilton,Hungary
ragil,Max Verstappen,Sergio Perez,Carlos Sainz,George Russell,Fernando Alonso,Charles Leclerc,Esteban Ocon,Sebastian Vettel,Pierre Gasly,Alexander Albon,Max Verstappen,Belgium
ragil,Max Verstappen,George Russell,Charles Leclerc,Lewis Hamilton,Sergio Perez,Fernando Alonso,Lando Norris,Carlos Sainz,Esteban Ocon,Lance Stroll,Max Verstappen,Netherlands
ragil,Max Verstappen,Charles Leclerc,George Russell,Carlos Sainz,Lewis Hamilton,Sergio Perez,Lando Norris,Pierre Gasly,Nick De Vries,Guanyu Zhou,Sergio Perez,Monza
ragil ,Sergio Perez,Charles Leclerc,Carlos Sainz,Lando Norris,Daniel Ricciardo,Lance Stroll,Max Verstappen,Sebastian Vettel,Lewis Hamilton,Pierre Gasly,George Russell,Singapore
ragil ,Max Verstappen,Sergio Perez,Charles Leclerc,Esteban Ocon,Lewis Hamilton,Sebastian Vettel,Fernando Alonso,George Russell,Nicholas Latifi,Lando Norris,Guanyu Zhou,Japan
ragil,Max Verstappen,Lewis Hamilton,Charles Leclerc,Sergio Perez,George Russell,Lando Norris,Fernando Alonso,Sebastian Vettel,Kevin Magnussen,Yuki Tsunoda,George Russell,United States
ragil,Max Verstappen,Lewis Hamilton,Sergio Perez,George Russell,Carlos Sainz,Charles Leclerc,Daniel Ricciardo,Esteban Ocon,Lando Norris,Valtteri Bottas,George Russell,Mexico
